Equipment_ID,Type,Model,Manufacture_Year,Customer_ID,CheckOut_Date,Planned_Return_Date,CheckIn_Date,Rental_Status,Operating_Hours,Idle_Hours,Fuel_Consumed_Liters,Fuel_Efficiency_L_per_hr,Distance_Traveled_km,Load_Cycles,GPS_Location,Maintenance_Flag,Breakdowns,Engine_Temp_Max,Hydraulic_Pressure_Max,Rental_Cost_USD,Overdue_Fine_USD,Total_Bill_USD
EQ0001,Excavator,320D2,2023,CUST141,2025-04-13,2025-04-19,2025-04-17,Closed,48,19,566.98,11.81,0,0,Site_B,Yes,0,89,313,3138,0,3138
EQ0002,Loader,950GC,2022,CUST217,2025-03-16,2025-03-29,2025-03-31,Overdue,106,29,1223.36,11.54,520,282,Site_A,Yes,0,87,327,5317,200,5517
EQ0003,Loader,980M,2018,CUST288,2025-03-05,2025-03-19,2025-03-19,Closed,100,18,1236.39,12.36,287,222,Site_B,No,0,92,357,7000,0,7000
EQ0004,Crane,320C,2019,CUST358,2025-04-02,2025-04-16,2025-04-16,Closed,112,26,1332.73,11.9,0,0,Site_D,No,0,93,319,5670,0,5670
EQ0005,Crane,320C,2018,CUST195,2025-03-05,2025-03-16,2025-03-16,Closed,65,23,755.96,11.63,0,0,Site_A,No,1,96,333,6116,0,6116
EQ0006,Excavator,323D3,2021,CUST275,2025-03-01,2025-03-05,2025-03-05,Closed,35,2,445.2,12.72,0,0,Site_A,No,1,87,370,1700,0,1700
EQ0007,Loader,966GC,2022,CUST099,2025-02-04,2025-02-07,2025-02-07,Closed,10,11,125.4,12.54,36,13,Site_F,Yes,2,86,329,1641,0,1641
EQ0008,Crane,320C,2019,CUST444,2025-03-31,2025-04-14,2025-04-13,Closed,100,32,1334.37,13.34,0,0,Site_A,No,0,93,358,7168,0,7168
EQ0009,Crane,320C,2020,CUST182,2025-03-28,2025-04-11,2025-04-11,Closed,87,20,1047.71,12.04,0,0,Site_B,No,1,87,321,6804,0,6804
EQ0010,Bulldozer,D6R2,2021,CUST195,2025-01-26,2025-02-06,2025-02-06,Closed,65,22,851.79,13.1,0,0,Site_C,Yes,0,95,307,4488,0,4488
